seed,target_class,criterion,spearman_vs_ablation
0,-1,weight,0.2568611800670624
0,-1,activation,0.48794296383857727
0,-1,weight_x_activation,0.6403647065162659
0,-1,grad_x_activation,0.6045825481414795
1,-1,weight,0.04879486933350563
1,-1,activation,0.055621687322854996
1,-1,weight_x_activation,0.08145257830619812
1,-1,grad_x_activation,0.11013323068618774
2,-1,weight,0.42705094814300537
2,-1,activation,0.25117310881614685
2,-1,weight_x_activation,0.46816062927246094
2,-1,grad_x_activation,0.5084577202796936
3,-1,weight,0.4768872857093811
3,-1,activation,0.5321027040481567
3,-1,weight_x_activation,0.6982982158660889
3,-1,grad_x_activation,0.7538684010505676
4,-1,weight,0.4070626199245453
4,-1,activation,0.08386170864105225
4,-1,weight_x_activation,0.25287267565727234
4,-1,grad_x_activation,0.2820282578468323
