epoch,train_loss,train_accuracy
1,0.7319436767482758,0.79144
2,0.2667967905426025,0.92246
3,0.18496731464862823,0.94574
4,0.13971195943832398,0.9592
5,0.10909726562976838,0.96866
6,0.09013769170999526,0.9734
7,0.07345153976678848,0.9785
8,0.060864633004665374,0.98212
9,0.05297824266314507,0.9841
10,0.04313810549616814,0.98758
11,0.037435981732606885,0.98934
12,0.030200163502693177,0.99166
13,0.02914325963318348,0.9916
14,0.02367568022727966,0.99366
15,0.018785734108686447,0.9952
16,0.01654733483940363,0.99586
17,0.013732217851281167,0.9967
18,0.012349886207282543,0.99716
19,0.009325533379167318,0.99822
20,0.007677983034551143,0.999
21,0.006337592695951462,0.9991
22,0.005002573306262493,0.99958
23,0.004147482106983662,0.99968
24,0.0032631693633645774,0.99984
25,0.002644950599707663,0.99994
